Date,Location,Meeting,DocTitle,PDF,Video,Link
20220217,Austin,"February 17, 2022 Austin City Council Regular Meeting ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=376515,,
20220217,Austin,"February 17, 2022 Austin City Council Regular Meeting ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=376511,,
20220217,Austin,"February 17, 2022 Austin City Council Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=376511,Video,http://austintx.swagit.com/play/154793/0/
20220222,Austin,"February 22, 2022 Housing and Planning Committee Regular Meeting ",Agenda: Housing and Planning Committee (HPC),https://www.austintexas.gov/edims/document.cfm?id=376329,,
20220222,Austin,"February 22, 2022 Housing and Planning Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=376329,Video,http://austintx.swagit.com/play/154987/0/
20220223,Austin,"February 23, 2022 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=376330,,
20220223,Austin,"February 23, 2022 Audit and Finance Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=376330,Video,http://austintx.swagit.com/play/155086/0/
20220301,Austin,"March 1, 2022 Austin City Council 09:00 AM - Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=377370,,
20220301,Austin,"March 1, 2022 Austin City Council 09:00 AM - Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=377370,Video,http://austintx.swagit.com/play/155399/0/
20220302,Austin,"March 2, 2022 Austin City Council 08:30AM Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Capital Metro Board of Directors and Austin Transit Partnership Board of Directors,https://www.austintexas.gov/edims/document.cfm?id=377142,,
20220302,Austin,"March 2, 2022 Austin City Council 08:30AM Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=377142,Video,http://austintx.swagit.com/play/155521/0/
20220303,Austin,"March 3, 2022 Austin Housing Finance Corporation (AHFC) Board of Directors Regular Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=376739,,
20220303,Austin,"March 3, 2022 Austin Housing Finance Corporation (AHFC) Board of Directors Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=376739,Video,http://austintx.swagit.com/play/155610/0/
20220309,Austin,"March 9, 2022 Public Health Committee Regular Meeting ",Agenda: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=377371,,
20220309,Austin,"March 9, 2022 Public Health Committee Regular Meeting ",Agenda Addendum: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=377942,,
20220309,Austin,"March 9, 2022 Public Health Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=377942,Video,http://austintx.swagit.com/play/156389/0/
20220310,Austin,"March 10, 2022 Mobility Committee Regular Meeting ",Agenda: Mobility Committee (MOBC),https://www.austintexas.gov/edims/document.cfm?id=377421,,
20220310,Austin,"March 10, 2022 Mobility Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=377421,Video,http://austintx.swagit.com/play/156452/0/
20220322,Austin,"March 22, 2022 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=378991,,
20220322,Austin,"March 22, 2022 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=378991,Video,http://austintx.swagit.com/play/156999/0/
20220324,Austin,"March 24, 2022 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=378415,,
20220324,Austin,"March 24, 2022 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=378415,Video,http://austintx.swagit.com/play/157199/0/
20220328,Austin,"March 28, 2022 Public Safety Committee Regular Meeting ",Agenda: Public Safety Committee (PSC),https://www.austintexas.gov/edims/document.cfm?id=379072,,
20220328,Austin,"March 28, 2022 Public Safety Committee Regular Meeting ",Agenda Addendum: Public Safety Committee (PSC),https://www.austintexas.gov/edims/document.cfm?id=379133,,
20220328,Austin,"March 28, 2022 Public Safety Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=379133,Video,http://austintx.swagit.com/play/157542/0/
20220329,Austin,"March 29, 2022 Austin City Council 9:00 AM - Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=379471,,
20220329,Austin,"March 29, 2022 Austin City Council 9:00 AM - Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=379471,Video,http://austintx.swagit.com/play/157589/0/
20220330,Austin,"March 30, 2022 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=379073,,
20220330,Austin,"March 30, 2022 Audit and Finance Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=379073,Video,http://austintx.swagit.com/play/157807/0/
20220331,Austin,"March 31, 2022 Austin Water Oversight Committee Special Called Meeting ",Agenda - Special Called Meeting: Austin Water Oversight Committee (AWOC),https://www.austintexas.gov/edims/document.cfm?id=378990,,
20220331,Austin,"March 31, 2022 Austin Water Oversight Committee Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=378990,Video,http://austintx.swagit.com/play/157899/0/
20220405,Austin,"April 5, 2022 Austin Energy Utility Oversight Committee Regular Meeting ",Agenda: Austin Energy Utility Oversight Committee (AEUOC),https://www.austintexas.gov/edims/document.cfm?id=379470,,
20220405,Austin,"April 5, 2022 Austin Energy Utility Oversight Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=379470,Video,http://austintx.swagit.com/play/158057/0/
20220407,Austin,"April 7, 2022 Austin City Council Regular Meeting ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=379497,,
20220407,Austin,"April 7, 2022 Austin City Council Regular Meeting ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=380079,,
20220407,Austin,"April 7, 2022 Austin City Council Regular Meeting ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=380011,,
20220407,Austin,"April 7, 2022 Austin City Council Regular Meeting ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=380357,,
20220407,Austin,"April 7, 2022 Austin City Council Regular Meeting ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=380313,,
20220407,Austin,"April 7, 2022 Austin City Council Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=380313,Video,http://austintx.swagit.com/play/158214/0/
20220412,Austin,"April 12, 2022 Housing and Planning Committee Regular Meeting ",Agenda: Housing and Planning Committee (HPC),https://www.austintexas.gov/edims/document.cfm?id=380009,,
20220412,Austin,"April 12, 2022 Housing and Planning Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=380009,Video,http://austintx.swagit.com/play/167289/0/
20220413,Austin,"April 13, 2022 Public Health Committee Regular Meeting ",Agenda - Revised: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=380226,,
20220413,Austin,"April 13, 2022 Public Health Committee Regular Meeting ",Agenda: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=380012,,
20220413,Austin,"April 13, 2022 Public Health Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=380012,Video,http://austintx.swagit.com/play/167391/0/
20220414,Austin,"April 14, 2022 Mobility Committee Regular Meeting ",Agenda: Mobility Committee (MOBC),https://www.austintexas.gov/edims/document.cfm?id=380008,,
20220414,Austin,"April 14, 2022 Mobility Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=380008,Video,http://austintx.swagit.com/play/167476/0/
20220418,Austin,"April 18, 2022 Audit and Finance Committee Special Called Meeting ",Agenda - Special Called Meeting: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=380556,,
20220418,Austin,"April 18, 2022 Audit and Finance Committee Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=380556,Video,http://austintx.swagit.com/play/167535/0/
20220419,Austin,"April 19, 2022 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=381141,,
20220419,Austin,"April 19, 2022 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=381141,Video,http://austintx.swagit.com/play/167646/0/
20220421,Austin,"April 21, 2022 Austin Housing Public Facility Corporation (AHPFC) Board of Directors Regular Meeting ",Agenda: Austin Housing Public Facility Corporation (AHPFC),https://www.austintexas.gov/edims/document.cfm?id=380522,,
20220421,Austin,"April 21, 2022 Austin Housing Public Facility Corporation (AHPFC) Board of Directors Regular Meeting ",Agenda - Cancellation Notice: Austin Housing Public Facility Corporation (AHPFC),https://www.austintexas.gov/edims/document.cfm?id=381573,,
20220427,Austin,"April 27, 2022 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=381143,,
20220427,Austin,"April 27, 2022 Audit and Finance Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=381143,Video,http://austintx.swagit.com/play/170772/0/
20220503,Austin,"May 3, 2022 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=382131,,
20220503,Austin,"May 3, 2022 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=382131,Video,http://austintx.swagit.com/play/171021/0/
20220505,Austin,"May 5, 2022 Austin City Council Regular Meeting ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=381631,,
20220505,Austin,"May 5, 2022 Austin City Council Regular Meeting ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=382156,,
20220505,Austin,"May 5, 2022 Austin City Council Regular Meeting ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=382132,,
20220505,Austin,"May 5, 2022 Austin City Council Regular Meeting ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=382451,,
20220505,Austin,"May 5, 2022 Austin City Council Regular Meeting ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=382422,,
20220505,Austin,"May 5, 2022 Austin City Council Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=382422,Video,http://austintx.swagit.com/play/171229/0/
20220510,Austin,"May 10, 2022 Austin City Council Discussion ",Agenda - Discussion,https://www.austintexas.gov/edims/document.cfm?id=382646,,
20220511,Austin,"May 11, 2022 Public Health Committee Regular Meeting ",Agenda: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=382068,,
20220511,Austin,"May 11, 2022 Public Health Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=382068,Video,http://austintx.swagit.com/play/171601/0/
20220512,Austin,"May 12, 2022 Mobility Committee Regular Meeting ",Agenda: Mobility Committee (MOBC),https://www.austintexas.gov/edims/document.cfm?id=382069,,
20220512,Austin,"May 12, 2022 Mobility Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=382069,Video,http://austintx.swagit.com/play/171699/0/
20220513,Austin,"May 13, 2022 Austin City Council Discussion ",Agenda - Discussion,https://www.austintexas.gov/edims/document.cfm?id=382645,,
20220513,Austin,"May 13, 2022 Austin City Council Discussion ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=382645,Video,http://austintx.swagit.com/play/171767/0/
20220516,Austin,"May 16, 2022 Austin City Council Discussion ",Agenda - Discussion: South Austin VMU Community Meeting,https://www.austintexas.gov/edims/document.cfm?id=383224,,
20220517,Austin,"May 17, 2022 Austin City Council 9:00 AM - Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=383231,,
20220517,Austin,"May 17, 2022 Austin City Council 9:00 AM - Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=383231,Video,http://austintx.swagit.com/play/173886/0/
20220519,Austin,"May 19, 2022 Austin City Council Regular Meeting ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=382670,,
20220519,Austin,"May 19, 2022 Austin City Council Regular Meeting ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=383335,,
20220519,Austin,"May 19, 2022 Austin City Council Regular Meeting ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=383274,,
20220519,Austin,"May 19, 2022 Austin City Council Regular Meeting ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=383613,,
20220519,Austin,"May 19, 2022 Austin City Council Regular Meeting ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=383568,,
20220519,Austin,"May 19, 2022 Austin City Council Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=383568,Video,http://austintx.swagit.com/play/174118/0/
20220523,Austin,"May 23, 2022 Public Safety Committee Regular Meeting ",Agenda: Public Safety Committee (PSC),https://www.austintexas.gov/edims/document.cfm?id=383275,,
20220523,Austin,"May 23, 2022 Public Safety Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=383275,Video,http://austintx.swagit.com/play/174280/0/
20220525,Austin,"May 25, 2022 Austin Water Oversight Committee Regular Meeting ",Agenda: Austin Water Oversight Committee (AWOC),https://www.austintexas.gov/edims/document.cfm?id=383232,,
20220525,Austin,"May 25, 2022 Austin Water Oversight Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=383232,Video,http://austintx.swagit.com/play/174522/0/
20220531,Austin,"May 31, 2022 Housing and Planning Committee Regular Meeting ",Agenda: Housing and Planning Committee (HPC),https://www.austintexas.gov/edims/document.cfm?id=383785,,
20220531,Austin,"May 31, 2022 Housing and Planning Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=383785,Video,http://austintx.swagit.com/play/174705/0/
20220601,Austin,"June 1, 2022 Public Health Committee Regular Meeting ",Agenda: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=383786,,
20220601,Austin,"June 1, 2022 Public Health Committee Regular Meeting ",Agenda - Cancellation Notice: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=384175,,
20220607,Austin,"June 7, 2022 Austin Energy Utility Oversight Committee Regular Meeting ",Agenda: Austin Energy Utility Oversight Committee (AEUOC),https://www.austintexas.gov/edims/document.cfm?id=384174,,
20220607,Austin,"June 7, 2022 Austin Energy Utility Oversight Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=384174,Video,http://austintx.swagit.com/play/175062/0/
20220608,Austin,"June 8, 2022 Public Health Committee Special Called Meeting ",Agenda - Special Called Meeting: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=384862,,
20220608,Austin,"June 8, 2022 Public Health Committee Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=384862,Video,http://austintx.swagit.com/play/175184/0/
20220609,Austin,"June 9, 2022 Austin City Council Regular Meeting ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=384184,,
20220609,Austin,"June 9, 2022 Austin City Council Regular Meeting ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=385146,,
20220609,Austin,"June 9, 2022 Austin City Council Regular Meeting ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=384909,,
20220609,Austin,"June 9, 2022 Austin City Council Regular Meeting ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=385424,,
20220609,Austin,"June 9, 2022 Austin City Council Regular Meeting ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=385391,,
20220609,Austin,"June 9, 2022 Austin City Council Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=385391,Video,http://austintx.swagit.com/play/175271/0/
20220614,Austin,"June 14, 2022 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=385600,,
20220614,Austin,"June 14, 2022 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=385600,Video,http://austintx.swagit.com/play/175573/0/
20220615,Austin,"June 15, 2022 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=384866,,
20220615,Austin,"June 15, 2022 Audit and Finance Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=384866,Video,http://austintx.swagit.com/play/175634/0/
20220616,Austin,"June 16, 2022 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=384910,,
20220616,Austin,"June 16, 2022 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=384910,Video,http://austintx.swagit.com/play/175744/0/
